id,renta,condiciones_conduccion,vacaciones,sector,comunidad_autonoma,familia,tipo_combustible,uso_habitual,cambio,plaza_parking
221,35000-60000,nieve,montaña,Tecnología,Andalucía,No,gasolina,uso particular ocasional,Manual,Si
222,60000 - 100000,buen clima,ciudad,Salud,Navarra,"Si, grande",diesel,uso particular ocasional,Manual,No
223,12000 - 20000,buen clima,ciudad,Energía,Navarra,"Si, grande",diesel,uso particular ocasional,Manual,Si
224,- 12000,buen clima,montaña,Energía,Madrid,"Si, pequeña",gasolina,uso particular ocasional,Manual,Si
225,60000 - 100000,nieve,ciudad,Salud,Andalucía,"Si, pequeña",diesel,uso particular ocasional,Manual,No
226,+ 100000,buen clima,montaña,Tecnología,Aragón,No,diesel,uso particular ocasional,Manual,Si
227,35000-60000,buen clima,montaña,Servicios Financieros,Valencia,"Si, pequeña",diesel,uso particular ocasional,Manual,No
228,35000-60000,buen clima,montaña,Tecnología,Aragón,"Si, grande",hibrido,uso particular habitual,Manual,Si
229,- 12000,buen clima,playa,Comercio,Castilla y León,"Si, grande",diesel,uso particular ocasional,Manual,Si
230,35000-60000,buen clima,ciudad,Turismo y Ocio,Asturias,No,hibrido,uso particular ocasional,Automatico,Si
231,20000 - 35000,buen clima,montaña,Transporte y Logística,Andalucía,No,diesel,uso particular ocasional,Manual,Si
232,- 12000,off-road,montaña,Energía,Castilla y León,"Si, pequeña",electrico,uso particular habitual,Automatico,No
233,- 12000,buen clima,playa,Educación,Aragón,"Si, grande",diesel,viajes largos,Manual,No
234,60000 - 100000,buen clima,ciudad,Industria Construccion y Manufactura,Valencia,No,hibrido,uso particular ocasional,Manual,No
235,35000-60000,off-road,playa,Turismo y Ocio,Baleares,"Si, pequeña",gasolina,uso particular habitual,Manual,Si
236,60000 - 100000,buen clima,playa,Tecnología,País Vasco,"Si, grande",gasolina,uso particular habitual,Manual,Si
237,60000 - 100000,buen clima,ciudad,Tecnología,Asturias,"Si, pequeña",diesel,uso particular habitual,Manual,No
238,20000 - 35000,buen clima,playa,Servicios Financieros,Asturias,"Si, pequeña",diesel,uso particular ocasional,Manual,No
239,+ 100000,buen clima,ciudad,Energía,Asturias,"Si, pequeña",electrico,uso particular ocasional,Manual,Si
240,20000 - 35000,buen clima,playa,Servicios Financieros,Aragón,"Si, grande",gasolina,uso particular habitual,Manual,Si
241,35000-60000,buen clima,ciudad,Educación,Aragón,"Si, pequeña",gasolina,uso particular habitual,Automatico,Si
242,20000 - 35000,buen clima,montaña,Industria Construccion y Manufactura,Aragón,"Si, pequeña",gasolina,uso particular habitual,Manual,No
243,12000 - 20000,nieve,montaña,Energía,Baleares,"Si, pequeña",diesel,uso particular habitual,Automatico,No
244,35000-60000,buen clima,montaña,Tecnología,Aragón,"Si, grande",gasolina,uso particular habitual,Manual,No
