Maker,Version,Price,URL Producto,URL Imagen,Year,Kms,Potencia,Caja_velocidades,presupuesto,tipo_combustible.1,Puertas,Plazas,Marca
Audi A3,Sportback 30 TFSI S tronic,24190,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a3-a3-sportback-30-tfsi-s-tronic-110-compacto-automatico-2023-102720,https://storage.googleapis.com/clicars-storage-prod-public/photos/58/61/14/14ab1d801cf13468a9e512d6ca2bc2b3-23172121-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2023,42.244km,110CV,Automatico,"20,000-30,000",Hibrido,4,5,Audi
Audi A3,Sportback 30 TFSI S tronic,24590,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a3-a3-sportback-30-tfsi-s-tronic-110-compacto-automatico-2023-102719,https://storage.googleapis.com/clicars-storage-prod-public/photos/93/60/14/d78921eab88992e1b6574f24de4ddfa9-23146016-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2023,39.836km,110CV,Automatico,"20,000-30,000",Hibrido,4,5,Audi
Audi A3,Sportback 35TDI Black line,25690,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a3-a3-sportback-35tdi-black-line-150-berlina-manual-2022-102000,https://storage.googleapis.com/clicars-storage-prod-public/photos/90/57/14/1a6945ee046cdb91d3858abb94dc8713-23026553-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2022,59.940km,150CV,Manual,"20,000-30,000",Diesel,4,5,Audi
Audi A3,Sportback 35TDI Black line,25790,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a3-a3-sportback-35tdi-black-line-150-berlina-manual-2022-102636,https://storage.googleapis.com/clicars-storage-prod-public/photos/83/62/14/4df6aa336249cc990d4ab858669b0a28-23222126-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2022,62.246km,150CV,Manual,"20,000-30,000",Diesel,4,5,Audi
Audi A3,Sportback 35TDI Black line,25790,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a3-a3-sportback-35tdi-black-line-150-berlina-manual-2022-102496,https://storage.googleapis.com/clicars-storage-prod-public/photos/95/62/14/8937c703ed8dd50e3011d341fcc33df6-23225352-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2022,63.135km,150CV,Manual,"20,000-30,000",Diesel,4,5,Audi
Audi A3,Sportback 35TDI Black line,26390,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a3-a3-sportback-35tdi-black-line-150-berlina-manual-2022-103030,https://storage.googleapis.com/clicars-storage-prod-public/photos/64/65/14/00b2b352729cad5fea661b7856e593f8-23322408-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2022,60.182km,150CV,Manual,"20,000-30,000",Diesel,4,5,Audi
Audi A3,Sportback 40 TFSIe Advanced S tronic,24290,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a3-a3-sportback-40-tfsie-advanced-s-tronic-204-compacto-automatico-2022-95864,https://storage.googleapis.com/clicars-storage-prod-public/photos/31/02/14/927f9ace8492542971cbbc7e167c37c0-23208586-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2022,22.798km,204CV,Automatico,"20,000-30,000",Hibrido,4,5,Audi
Audi A4,2.0TDI DPF Multitronic 150,14990,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a4-a4-2-0tdi-dpf-multitronic-150-150-berlina-automatico-2014-102833,https://storage.googleapis.com/clicars-storage-prod-public/photos/59/60/14/ac95d6225677290207bb1999883253a2-23135309-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2014,112.437km,150CV,Automatico,"10,000-15,000",Diesel,4,5,Audi
Audi A4,30 TDI Advanced S tronic,19890,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a4-a4-30-tdi-advanced-s-tronic-100kw-136-berlina-automatico-2020-102536,https://storage.googleapis.com/clicars-storage-prod-public/photos/53/66/14/1af4254c028df8100246bbb0740d48f3-23352671-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,119.000km,136CV,Automatico,"15,000-20,000",Hibrido,4,5,Audi
Audi A4,30 TDI Advanced S tronic,21390,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a4-a4-30-tdi-advanced-s-tronic-100kw-136-berlina-automatico-2019-102266,https://storage.googleapis.com/clicars-storage-prod-public/photos/05/55/14/6be876900aa557eede9fc6cfd7c14986-22905182-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2019,63.638km,136CV,Automatico,"20,000-30,000",Hibrido,4,5,Audi
Audi A4,35 TFSI S line S tronic,21790,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a4-a4-35-tfsi-s-line-s-tronic-110kw-150-berlina-automatico-2020-102170,https://storage.googleapis.com/clicars-storage-prod-public/photos/84/57/14/fee93a8e82a055ef102e1d3e2af6f057-23023142-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,101.992km,150CV,Automatico,"20,000-30,000",Hibrido,4,5,Audi
Audi A4,Avant 35 TDI Advanced S tronic,20790,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a4-a4-avant-35-tdi-advanced-s-tronic-120kw-163-familiar-automatico-2020-101243,https://storage.googleapis.com/clicars-storage-prod-public/photos/29/59/14/ba2801b95a97e97774383dc868e2f0f0-23079711-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,98.290km,163CV,Automatico,"20,000-30,000",Hibrido,4,5,Audi
Audi A4,Avant 35 TDI Advanced S tronic,22690,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a4-a4-avant-35-tdi-advanced-s-tronic-120kw-163-familiar-automatico-2020-102272,https://storage.googleapis.com/clicars-storage-prod-public/photos/91/57/14/57bcf4e24677b2b6ce9f31351d0615f0-23025193-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,96.220km,163CV,Automatico,"20,000-30,000",Hibrido,4,5,Audi
Audi A4,Avant 40 TDI Advanced S tronic,19590,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a4-a4-avant-40-tdi-advanced-s-tronic-140kw-190-familiar-automatico-2019-104092,https://storage.googleapis.com/clicars-storage-prod-public/photos/84/75/54/811f64b88ccc9598b0a72597b9ad8eee-23411099-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2019,105.893km,190CV,Automatico,"15,000-20,000",Diesel,4,5,Audi
Audi A4,Avant 40 TDI S line quattro S tronic,22690,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a4-a4-avant-40-tdi-s-line-quattro-s-tronic-140kw-190-familiar-automatico-2020-102261,https://storage.googleapis.com/clicars-storage-prod-public/photos/22/58/14/c0fb88ed08684514880e84607bae26f2-23030429-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,131.127km,190CV,Automatico,"20,000-30,000",Diesel,4,5,Audi
Audi A7,Sportback 45 TDI quattro tiptronic,40490,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a7-a7-sportback-45-tdi-quattro-tiptronic-170kw-231-familiar-automatico-2020-83879,https://storage.googleapis.com/clicars-storage-prod-public/photos/23/11/13/3d2752d3f431b3935e98654c9234b8a7-23412096-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,92.273km,231CV,Automatico,"40,000-50,000",Hibrido,4,5,Audi
Audi Q2,30 TDI Sport,19590,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-q2-q2-30-tdi-sport-85kw-116-suv-y-4x4-manual-2020-101643,https://storage.googleapis.com/clicars-storage-prod-public/photos/90/55/14/d44752e1c267bae0f4aa27d815a91e47-22943844-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,71.873km,116CV,Manual,"15,000-20,000",Diesel,4,5,Audi
Audi Q2,30 TDI Sport S tronic,23690,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-q2-q2-30-tdi-sport-s-tronic-85kw-116-suv-y-4x4-automatico-2020-102936,https://storage.googleapis.com/clicars-storage-prod-public/photos/93/62/14/269556e8d0a4ccdc02ef43e38c54ade9-23225116-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,33.574km,116CV,Automatico,"20,000-30,000",Diesel,4,5,Audi
Audi Q2,35 TDI S line S tronic,26390,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-q2-q2-35-tdi-s-line-s-tronic-110kw-150-suv-y-4x4-automatico-2023-102289,https://storage.googleapis.com/clicars-storage-prod-public/photos/35/58/14/91edd608d8a9faa30e9ed26ba56d16ef-23033787-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2023,85.304km,150CV,Automatico,"20,000-30,000",Diesel,4,5,Audi
Audi Q3,35 TDI Advanced S tronic,22690,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-q3-q3-35-tdi-advanced-s-tronic-110kw-150-suv-y-4x4-automatico-2019-102638,https://storage.googleapis.com/clicars-storage-prod-public/photos/84/61/14/2617ba91150660b3b3ab8e62c5ddb80d-23180115-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2019,121.275km,150CV,Automatico,"20,000-30,000",Diesel,4,5,Audi
Audi Q3,35 TDI Advanced S tronic,25890,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-q3-q3-35-tdi-advanced-s-tronic-110kw-150-suv-y-4x4-automatico-2020-103501,https://storage.googleapis.com/clicars-storage-prod-public/photos/49/42/54/44fe43d8ec0b1c4300908e51a9c7b1da-23264322-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,64.360km,150CV,Automatico,"20,000-30,000",Diesel,4,5,Audi
Audi Q3,35 TDI S line quattro,24590,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-q3-q3-35-tdi-s-line-quattro-110kw-150-suv-y-4x4-manual-2019-102077,https://storage.googleapis.com/clicars-storage-prod-public/photos/73/56/14/d5d23d9f3f90afa77250d29da697f279-22966530-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2019,102.763km,150CV,Manual,"20,000-30,000",Diesel,4,5,Audi
Audi Q3,35 TFSI S line S tronic,24290,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-q3-q3-35-tfsi-s-line-s-tronic-150-suv-y-4x4-automatico-2019-102756,https://storage.googleapis.com/clicars-storage-prod-public/photos/73/59/14/25a4f24984d68f4aadb153b059d25733-23090927-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2019,108.224km,150CV,Automatico,"20,000-30,000",Gasolina,4,5,Audi
Audi Q3,40 TDI Black line quattro S tronic,31590,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-q3-q3-40-tdi-black-line-quattro-s-tronic-140kw-190-suv-y-4x4-automatico-2020-102848,https://storage.googleapis.com/clicars-storage-prod-public/photos/18/66/14/44d34c116c81770ea1d92e02eb80eed5-23347099-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,70.106km,190CV,Automatico,"30,000-40,000",Diesel,4,5,Audi
Audi Q3,Sportback 35 TDI S line S tronic,29990,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-q3-q3-sportback-35-tdi-s-line-s-tronic-150-suv-y-4x4-automatico-2020-103063,https://storage.googleapis.com/clicars-storage-prod-public/photos/42/62/14/a0367f193c470d39e7b4d2c7ebf7db87-23200861-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,125.990km,150CV,Automatico,"20,000-30,000",Diesel,4,5,Audi
Audi Q3,Sportback 35 TDI S line S tronic,31390,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-q3-q3-sportback-35-tdi-s-line-s-tronic-150-suv-y-4x4-automatico-2020-101381,https://storage.googleapis.com/clicars-storage-prod-public/photos/42/53/14/77a340729a50744542a1cb78d1242ee6-23271429-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,74.557km,150CV,Automatico,"30,000-40,000",Diesel,4,5,Audi
Audi Q5,35 TDI S line S tronic,34290,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-q5-q5-35-tdi-s-line-s-tronic-163-suv-y-4x4-automatico-2020-102260,https://storage.googleapis.com/clicars-storage-prod-public/photos/38/57/14/59fb5603b9059642321c126a5e39e94d-22999080-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,65.651km,163CV,Automatico,"30,000-40,000",Hibrido,4,5,Audi
Audi Q5,40 TDI S line quattro-ultra S tronic,30890,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-q5-q5-40-tdi-s-line-quattro-ultra-s-tronic-140kw-190-suv-y-4x4-automatico-2019-101456,https://storage.googleapis.com/clicars-storage-prod-public/photos/61/54/14/9d79c756c751fca4fcd83d60ebfed452-22891502-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2019,93.912km,190CV,Automatico,"30,000-40,000",Diesel,4,5,Audi
Audi Q5,40 TDI quattro-ultra S line S tronic,34290,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-q5-q5-40-tdi-quattro-ultra-s-line-s-tronic-150kw-204-suv-y-4x4-automatico-2020-102994,https://storage.googleapis.com/clicars-storage-prod-public/photos/79/65/14/941b0529ac46659880f7e6fe0bbf20a5-23332117-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,82.795km,204CV,Automatico,"30,000-40,000",Diesel,4,5,Audi
BMW Serie 1,116i,16690,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-bmw-serie-1-116i-109-compacto-manual-2018-102275,https://storage.googleapis.com/clicars-storage-prod-public/photos/94/54/14/06d2c32719825496ba30c8400bbed91a-22903305-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2018,47.038km,109CV,Manual,"15,000-20,000",Gasolina,4,5,BMW
BMW Serie 1,116i,17690,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-bmw-serie-1-116i-109-compacto-manual-2019-91276,https://storage.googleapis.com/clicars-storage-prod-public/photos/03/61/13/4c04e2509c6f9616629901a4a4574f76-19608247-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2019,10.308km,109CV,Manual,"15,000-20,000",Gasolina,4,5,BMW
BMW Serie 1,118d,17090,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-bmw-serie-1-118d-150-compacto-automatico-2018-102899,https://storage.googleapis.com/clicars-storage-prod-public/photos/88/05/54/99ecc87563969cde815a627f2d1de466-23069132-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2018,94.264km,150CV,Automatico,"15,000-20,000",Diesel,4,5,BMW
BMW Serie 1,118d,18890,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-bmw-serie-1-118d-150-compacto-manual-2020-101571,https://storage.googleapis.com/clicars-storage-prod-public/photos/07/48/14/214319439a6f858ab27808d1e7b6ac8b-22651525-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,52.303km,150CV,Manual,"15,000-20,000",Diesel,4,5,BMW
BMW Serie 1,118d,18990,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-bmw-serie-1-118d-150-compacto-manual-2020-103002,https://storage.googleapis.com/clicars-storage-prod-public/photos/51/61/14/a238e4681c71cb79c216c0eecbc32848-23170964-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,63.996km,150CV,Manual,"15,000-20,000",Diesel,4,5,BMW
BMW Serie 1,118d,19390,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-bmw-serie-1-118d-150-compacto-manual-2020-100633,https://storage.googleapis.com/clicars-storage-prod-public/photos/24/39/14/69989d2de7415332bbce53488816c967-22328747-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,55.015km,150CV,Manual,"15,000-20,000",Diesel,4,5,BMW
BMW Serie 1,118d,19990,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-bmw-serie-1-118d-150-compacto-manual-2020-102256,https://storage.googleapis.com/clicars-storage-prod-public/photos/67/54/14/26b4ca28eaf0ff0f256cc8295085954a-22894880-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,66.916km,150CV,Manual,"15,000-20,000",Diesel,4,5,BMW
BMW Serie 1,118d,20890,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-bmw-serie-1-118d-150-compacto-manual-2020-103494,https://storage.googleapis.com/clicars-storage-prod-public/photos/75/66/14/ab81e14656e842da741c8b9222399f0a-23362106-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,26.392km,150CV,Manual,"20,000-30,000",Diesel,4,5,BMW
BMW Serie 1,118d,20890,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-bmw-serie-1-118d-150-compacto-manual-2020-102617,https://storage.googleapis.com/clicars-storage-prod-public/photos/50/58/14/4a4ec6bfacf5cd06976f813a4be042b0-23050945-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,42.050km,150CV,Manual,"20,000-30,000",Diesel,4,5,BMW
BMW Serie 1,118dA,17690,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-bmw-serie-1-118da-150-compacto-manual-2020-103010,https://storage.googleapis.com/clicars-storage-prod-public/photos/23/61/14/439cb8dac8551f71058fc9009e8f1df1-23159493-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,81.323km,150CV,Manual,"15,000-20,000",Diesel,4,5,BMW
BMW Serie 1,118dA,18190,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-bmw-serie-1-118da-150-compacto-manual-2020-103011,https://storage.googleapis.com/clicars-storage-prod-public/photos/42/65/14/15e13eacab6345f7be60ebdfae4336b5-23318801-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,98.847km,150CV,Manual,"15,000-20,000",Diesel,4,5,BMW
BMW Serie 1,120dA xDrive,29090,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-bmw-serie-1-120da-xdrive-190-compacto-automatico-2020-90645,https://storage.googleapis.com/clicars-storage-prod-public/photos/98/54/13/9fd388efb473a2bd3194c62a742c8e89-19433035-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,46.475km,190CV,Automatico,"20,000-30,000",Diesel,4,5,BMW
BMW Serie 2,218d Gran Tourer,20890,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-bmw-serie-2-218d-gran-tourer-150-monovolumen-manual-2020-102468,https://storage.googleapis.com/clicars-storage-prod-public/photos/61/64/14/e8cb8fb86bff7178384848f7ed0481c1-23282286-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,43.184km,150CV,Manual,"20,000-30,000",Diesel,4,5,BMW
BMW Serie 2,225xe iPerformance Active Tourer,15190,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-bmw-serie-2-225xe-iperformance-active-tourer-224-monovolumen-automatico-2018-95340,https://storage.googleapis.com/clicars-storage-prod-public/photos/19/01/14/9a379d64be62c6b52d5c6b4db762bb37-22433310-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2018,118.074km,224CV,Automatico,"15,000-20,000",Hibrido,4,5,BMW
BMW Serie 2,225xe iPerformance Active Tourer,15390,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-bmw-serie-2-225xe-iperformance-active-tourer-224-monovolumen-automatico-2018-89360,https://storage.googleapis.com/clicars-storage-prod-public/photos/69/40/13/cb9e12c28c7800700d0f57d8e9808060-19965970-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2018,133.430km,224CV,Automatico,"15,000-20,000",Hibrido,4,5,BMW
BMW Serie 2,225xe iPerformance Active Tourer,17990,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-bmw-serie-2-225xe-iperformance-active-tourer-224-monovolumen-automatico-2018-101491,https://storage.googleapis.com/clicars-storage-prod-public/photos/90/56/14/1e1e6662840d432fa5da544c2929cb69-22969803-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2018,85.001km,224CV,Automatico,"15,000-20,000",Hibrido,4,5,BMW
BMW Serie 2,225xe iPerformance Active Tourer,18390,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-bmw-serie-2-225xe-iperformance-active-tourer-224-monovolumen-automatico-2018-101094,https://storage.googleapis.com/clicars-storage-prod-public/photos/72/50/14/3f007ed86ac8ffa2a60c2b89b595bd62-22953278-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2018,43.401km,224CV,Automatico,"15,000-20,000",Hibrido,4,5,BMW
BMW Serie 2,M240iA Coupé,27890,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-bmw-serie-2-m240ia-coupe-340-coupe-automatico-2017-100913,https://storage.googleapis.com/clicars-storage-prod-public/photos/65/42/14/a91d095f06d40232c4cf4b901f8ee113-22474214-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2017,124.655km,340CV,Automatico,"20,000-30,000",Gasolina,4,5,BMW
BMW Serie 3,318d,19990,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-bmw-serie-3-318d-150-berlina-automatico-2020-101796,https://storage.googleapis.com/clicars-storage-prod-public/photos/13/30/53/dbac734ae323d4b9b3937c8880910032-23206640-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,108.636km,150CV,Automatico,"15,000-20,000",Diesel,4,5,BMW
BMW Serie 3,318dA Touring,21390,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-bmw-serie-3-318da-touring-150-familiar-automatico-2020-103936,https://storage.googleapis.com/clicars-storage-prod-public/photos/95/65/54/1ba9c0442f726b9104b853a53ffd11c4-23382218-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,89.487km,150CV,Automatico,"20,000-30,000",Diesel,4,5,BMW
