Maker,Version,Price,URL Producto,URL Imagen,Year,Kms,Potencia,Puertas,Plazas,plaza_parking,renta_encoded,familia_encoded,frecuencia_uso_encoded,experiencia_conduccion_encoded,vacaciones_freq,sector_freq,comunidad_autonoma_freq,condiciones_conduccion_freq,Caja_velocidades_freq,tipo_combustible_freq,tipo_combustible.1_freq,Marca_freq,prediccion
Audi A1,Sportback 30 TFSI Adrenalin,16990.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a1-a1-sportback-30-tfsi-adrenalin-110-compacto-manual-2020-100032,https://storage.googleapis.com/clicars-storage-prod-public/photos/53/41/14/684819b2bf1a334815eb4df053bd2ca5-22445376-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,53.777,110,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.5902338041889917,0.0,0.39704091573307354,0.03044325377496347,0.09372390943438201
Audi A1,Sportback 30 TFSI S line,17590.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a1-a1-sportback-30-tfsi-s-line-116-compacto-manual-2019-103515,https://storage.googleapis.com/clicars-storage-prod-public/photos/44/71/14/2d5eff58c75a91e4871b895ea7b7eb55-23558329-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2019,79.15,116,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.5902338041889917,0.0,0.39704091573307354,0.03044325377496347,0.0930865903307194
Audi A1,Sportback 35 TFSI S line S tronic,18990.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a1-a1-sportback-35-tfsi-s-line-s-tronic-150-compacto-automatico-2020-101949,https://storage.googleapis.com/clicars-storage-prod-public/photos/09/57/14/0acd7e0981da259eda849220e5f6fe46-22981495-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,106.262,150,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.39704091573307354,0.03044325377496347,0.09542321397350634
Audi A3,Sedán 35TDI Advanced S tronic,23190.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a3-a3-sedan-35tdi-advanced-s-tronic-150-berlina-automatico-2020-103495,https://storage.googleapis.com/clicars-storage-prod-public/photos/33/42/54/d09911a49342bc04d8a41881f690d048-23291013-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,72.711,150,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.30144909887968824,0.03044325377496347,0.093456641572148
Audi A3,Sportback 30 TFSI,21390.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a3-a3-sportback-30-tfsi-110-compacto-manual-2022-99299,https://storage.googleapis.com/clicars-storage-prod-public/photos/53/38/14/524b6ce4fb419fca2cc9c660f5425d0e-22304594-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2022,83.913,110,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.5902338041889917,0.0,0.39704091573307354,0.03044325377496347,0.09481625876706189
Audi A3,Sportback 30 TFSI S tronic,23690.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a3-a3-sportback-30-tfsi-s-tronic-110-compacto-automatico-2023-102699,https://storage.googleapis.com/clicars-storage-prod-public/photos/34/60/14/0947b630ac8c02923dc91205e242fe1d-23117103-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2023,37.902,110,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.282513395031661,0.03044325377496347,0.08788371474052752
Audi A3,Sportback 30 TFSI S tronic,23690.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a3-a3-sportback-30-tfsi-s-tronic-110-compacto-automatico-2023-102719,https://storage.googleapis.com/clicars-storage-prod-public/photos/93/60/14/d78921eab88992e1b6574f24de4ddfa9-23146016-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2023,39.836,110,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.282513395031661,0.03044325377496347,0.08788371474052752
Audi A3,Sportback 30 TFSI S tronic,23690.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a3-a3-sportback-30-tfsi-s-tronic-110-compacto-automatico-2023-102716,https://storage.googleapis.com/clicars-storage-prod-public/photos/68/60/14/e9019eb1dfc2633bbcf8e8637ebc74c1-23143210-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2023,39.935,110,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.282513395031661,0.03044325377496347,0.08788371474052752
Audi A3,Sportback 30 TFSI S tronic,23690.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a3-a3-sportback-30-tfsi-s-tronic-110-compacto-automatico-2023-102721,https://storage.googleapis.com/clicars-storage-prod-public/photos/00/63/14/6a789f0b5c7a1ebb6fa52c2c9c609faf-23225936-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2023,40.652,110,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.282513395031661,0.03044325377496347,0.08788371474052752
Audi A3,Sportback 30 TFSI S tronic,23690.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a3-a3-sportback-30-tfsi-s-tronic-110-compacto-automatico-2023-102703,https://storage.googleapis.com/clicars-storage-prod-public/photos/23/60/14/b8a51cce23d4c95bcc1f46ed06ad894a-23114722-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2023,40.67,110,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.282513395031661,0.03044325377496347,0.08788371474052752
Audi A3,Sportback 30 TFSI S tronic,23690.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a3-a3-sportback-30-tfsi-s-tronic-110-compacto-automatico-2023-102720,https://storage.googleapis.com/clicars-storage-prod-public/photos/58/61/14/14ab1d801cf13468a9e512d6ca2bc2b3-23172121-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2023,42.244,110,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.282513395031661,0.03044325377496347,0.08788371474052752
Audi A3,Sportback 30 TFSI S tronic,24590.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a3-a3-sportback-30-tfsi-s-tronic-110-compacto-automatico-2023-102722,https://storage.googleapis.com/clicars-storage-prod-public/photos/19/71/14/f2d21be3e513fc03fd870feca9deefd1-23546755-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2023,35.691,110,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.282513395031661,0.03044325377496347,0.08788371474052752
Audi A3,Sportback 30TDI Advanced,21790.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a3-a3-sportback-30tdi-advanced-116-compacto-manual-2020-104298,https://storage.googleapis.com/clicars-storage-prod-public/photos/62/71/14/0f849be60b693eea9ad7876623a78d99-23561269-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,65.486,116,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.5902338041889917,0.0,0.30144909887968824,0.03044325377496347,0.10909818240836062
Audi A3,Sportback 35TDI Black line,25490.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a3-a3-sportback-35tdi-black-line-150-berlina-manual-2022-103030,https://storage.googleapis.com/clicars-storage-prod-public/photos/64/65/14/00b2b352729cad5fea661b7856e593f8-23322408-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2022,60.203,150,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.5902338041889917,0.0,0.30144909887968824,0.03044325377496347,0.09204706662018294
Audi A3,Sportback 35TDI Black line,25490.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a3-a3-sportback-35tdi-black-line-150-berlina-manual-2022-102496,https://storage.googleapis.com/clicars-storage-prod-public/photos/95/62/14/8937c703ed8dd50e3011d341fcc33df6-23225352-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2022,63.135,150,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.5902338041889917,0.0,0.30144909887968824,0.03044325377496347,0.09201918957522019
Audi A3,Sportback 35TDI Black line,26190.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a3-a3-sportback-35tdi-black-line-150-berlina-manual-2022-102000,https://storage.googleapis.com/clicars-storage-prod-public/photos/90/57/14/1a6945ee046cdb91d3858abb94dc8713-23026553-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2022,59.94,150,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.5902338041889917,0.0,0.30144909887968824,0.03044325377496347,0.09204706662018294
Audi A4,2.0TDI DPF Multitronic 150,14990.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a4-a4-2-0tdi-dpf-multitronic-150-150-berlina-automatico-2014-102833,https://storage.googleapis.com/clicars-storage-prod-public/photos/59/60/14/ac95d6225677290207bb1999883253a2-23135309-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2014,112.437,150,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.30144909887968824,0.03044325377496347,0.12537924032049935
Audi A4,30 TDI Advanced S tronic,19590.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a4-a4-30-tdi-advanced-s-tronic-100kw-136-berlina-automatico-2020-102536,https://storage.googleapis.com/clicars-storage-prod-public/photos/53/66/14/1af4254c028df8100246bbb0740d48f3-23352671-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,119.0,136,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.282513395031661,0.03044325377496347,0.11290250952930743
Audi A4,30 TDI Advanced S tronic,21390.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a4-a4-30-tdi-advanced-s-tronic-100kw-136-berlina-automatico-2019-102266,https://storage.googleapis.com/clicars-storage-prod-public/photos/05/55/14/6be876900aa557eede9fc6cfd7c14986-22905182-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2019,63.638,136,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.282513395031661,0.03044325377496347,0.09994946080779397
Audi A4,35 TDI Advanced S tronic,19090.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a4-a4-35-tdi-advanced-s-tronic-120kw-163-berlina-automatico-2020-103320,https://storage.googleapis.com/clicars-storage-prod-public/photos/28/69/14/e9ddd4e3e0690929a9981648814b70b0-23467366-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,134.31,163,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.282513395031661,0.03044325377496347,0.09190099492455692
Audi A4,35 TDI S line S tronic,24590.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a4-a4-35-tdi-s-line-s-tronic-120kw-163-berlina-automatico-2020-101715,https://storage.googleapis.com/clicars-storage-prod-public/photos/90/52/14/50acf143cdb058c224ddbbf91f672773-22822293-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,65.413,163,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.282513395031661,0.03044325377496347,0.09564568860185098
Audi A4,35 TFSI Advanced,24690.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a4-a4-35-tfsi-advanced-110kw-150-berlina-manual-2020-96460,https://storage.googleapis.com/clicars-storage-prod-public/photos/55/05/14/9224a12e85eb3ddefe523ad5910be343-21205114-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,36.436,150,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.5902338041889917,0.0,0.282513395031661,0.03044325377496347,0.08886769259725434
Audi A4,Avant 30 TDI Advanced S tronic,21990.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a4-a4-avant-30-tdi-advanced-s-tronic-100kw-136-familiar-automatico-2021-101046,https://storage.googleapis.com/clicars-storage-prod-public/photos/07/47/14/293cd98902072682ba41761e1fff1949-22622673-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2021,101.642,136,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.282513395031661,0.03044325377496347,0.11863951733418246
Audi A4,Avant 35 TDI Advanced S tronic,19890.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a4-a4-avant-35-tdi-advanced-s-tronic-120kw-163-familiar-automatico-2020-101726,https://storage.googleapis.com/clicars-storage-prod-public/photos/24/26/53/b4aa74b5b0831332908f11b14a68bdbb-22732078-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,106.771,163,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.282513395031661,0.03044325377496347,0.09343072251295483
Audi A4,Avant 35 TDI Advanced S tronic,20890.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a4-a4-avant-35-tdi-advanced-s-tronic-120kw-163-familiar-automatico-2020-101243,https://storage.googleapis.com/clicars-storage-prod-public/photos/29/59/14/ba2801b95a97e97774383dc868e2f0f0-23079711-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,98.29,163,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.282513395031661,0.03044325377496347,0.09343072251295483
Audi A4,Avant 35 TDI Advanced S tronic,22690.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a4-a4-avant-35-tdi-advanced-s-tronic-120kw-163-familiar-automatico-2020-102272,https://storage.googleapis.com/clicars-storage-prod-public/photos/91/57/14/57bcf4e24677b2b6ce9f31351d0615f0-23025193-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,96.22,163,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.282513395031661,0.03044325377496347,0.09564568860185098
Audi A4,Avant 40 TDI Advanced S tronic,19590.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a4-a4-avant-40-tdi-advanced-s-tronic-140kw-190-familiar-automatico-2019-104092,https://storage.googleapis.com/clicars-storage-prod-public/photos/84/75/54/811f64b88ccc9598b0a72597b9ad8eee-23411099-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2019,105.893,190,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.30144909887968824,0.03044325377496347,0.09302452804735442
Audi A4,Avant 40 TDI S line S tronic,24390.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a4-a4-avant-40-tdi-s-line-s-tronic-140kw-190-familiar-automatico-2020-101017,https://storage.googleapis.com/clicars-storage-prod-public/photos/33/48/14/1efd73b352a373d75b3ddf90db021b78-22656185-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,98.248,190,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.30144909887968824,0.03044325377496347,0.093456641572148
Audi A4,Avant 40 TDI S line quattro S tronic,31390.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a4-a4-avant-40-tdi-s-line-quattro-s-tronic-150kw-204-familiar-automatico-2021-94844,https://storage.googleapis.com/clicars-storage-prod-public/photos/75/19/14/d993956775124c7458ebbcb5645dadf0-21677218-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2021,65.204,204,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.282513395031661,0.03044325377496347,0.09709864652309473
Audi A6,Avant 40 TDI Sport S tronic (4.75),30490.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a6-a6-avant-40-tdi-sport-s-tronic-4-75-204-familiar-automatico-2020-99761,https://storage.googleapis.com/clicars-storage-prod-public/photos/55/42/14/01e11bfde17f3c229ae3edf77ac13c3c-22470747-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,98.875,204,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.282513395031661,0.03044325377496347,0.09709864652309473
Audi A7,Sportback 45 TDI quattro tiptronic,40890.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a7-a7-sportback-45-tdi-quattro-tiptronic-170kw-231-familiar-automatico-2020-83879,https://storage.googleapis.com/clicars-storage-prod-public/photos/23/11/13/3d2752d3f431b3935e98654c9234b8a7-23412096-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,92.273,231,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.282513395031661,0.03044325377496347,0.09709864652309473
Audi A7,Sportback 45 TFSI quattro-ultra S tronic,42890.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a7-a7-sportback-45-tfsi-quattro-ultra-s-tronic-245-coupe-automatico-2020-88527,https://storage.googleapis.com/clicars-storage-prod-public/photos/76/31/13/023938d0afe36c3e05f2d51c1980a7c6-18760864-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,45.511,245,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.282513395031661,0.03044325377496347,0.09568907157112967
Audi A7,Sportback 50 TDI quattro tiptronic,35690.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a7-a7-sportback-50-tdi-quattro-tiptronic-210kw-286-berlina-automatico-2019-95792,https://storage.googleapis.com/clicars-storage-prod-public/photos/08/20/14/d31e91025cab651a7daa0afe96755438-21697911-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2019,154.316,286,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.282513395031661,0.03044325377496347,0.10450323834809563
Audi A7,Sportback 50 TDI quattro tiptronic,47790.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a7-a7-sportback-50-tdi-quattro-tiptronic-210kw-286-coupe-automatico-2019-86782,https://storage.googleapis.com/clicars-storage-prod-public/photos/80/99/13/56ee7c50310360378df724829f4ba42b-23472014-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,36.379,286,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.282513395031661,0.03044325377496347,0.09327485092335638
Audi A7,Sportback 50 TFSIe quattro-ultra S tronic,49690.0,https://www.clicars.com/coches-segunda-mano-ocasion/comprar-audi-a7-a7-sportback-50-tfsie-quattro-ultra-s-tronic-299-compacto-automatico-2020-100035,https://storage.googleapis.com/clicars-storage-prod-public/photos/44/44/14/c082b71a89c06309f36f516b4fcc0cea-22527844-788ff3e47733943ab4dc26be8bc196d5dbdb0121-vehicle-gallery-medium.jpg,2020,95.94,299,4,5,True,,1,,,0.29627374573794446,0.15112031173891866,0.03001704822211398,0.09248660496833902,0.40976619581100826,0.0,0.282513395031661,0.03044325377496347,0.14246882609430547
